3D Systems Corporation|DDD|Prev. Close|6.1
3D Systems Corporation|DDD|Day's Range|5.88 - 6.1
3D Systems Corporation|DDD|Revenue|566.61M
3D Systems Corporation|DDD|Open|6.05
3D Systems Corporation|DDD|52 wk Range|5.2 - 12.56
3D Systems Corporation|DDD|EPS| - 0.68
3D Systems Corporation|DDD|Volume|1836704
3D Systems Corporation|DDD|Market Cap|713.46M
3D Systems Corporation|DDD|Dividend (Yield)|N/A (N/A)
3D Systems Corporation|DDD|Average Vol. (3m)|2140900
3D Systems Corporation|DDD|P/E Ratio|N/A
3D Systems Corporation|DDD|Beta|1.63
3D Systems Corporation|DDD|1-Year Change| - 12.74%
3D Systems Corporation|DDD|Shares Outstanding|119708056
3D Systems Corporation|DDD|Next Earnings Date|Nov 03 2020
3M Company|MMM|Prev. Close|165.86
3M Company|MMM|Day's Range|164.52 - 166.3
3M Company|MMM|Revenue|31.35B
3M Company|MMM|Open|164.61
3M Company|MMM|52 wk Range|114.04 - 182.54
3M Company|MMM|EPS|8.82
3M Company|MMM|Volume|1607354
3M Company|MMM|Market Cap|95.68B
3M Company|MMM|Dividend (Yield)|5.88 (3.55%)
3M Company|MMM|Average Vol. (3m)|3202385
3M Company|MMM|P/E Ratio|18.83
3M Company|MMM|Beta|0.98
3M Company|MMM|1-Year Change|2.85%
3M Company|MMM|Shares Outstanding|576019442
3M Company|MMM|Next Earnings Date|Oct 27 2020
